,Movie_Title,Storyline
684,685. Relay,Two estranged cousins who never knew each other try to make amends for many generations of family dispute.
685,686. Year 10,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts."
686,687. The Problem with People,A group of humans wage war against the rising evil of unidentified parasitic life-forms that live off of human hosts and strive to grow their power
687,688. Dominique,"Provocative series hosted by Billy Carson exploring the mysterious Anunnaki's origins, their influence on ancient civilizations, and the theory they engineered human genetics and technological evolution."
688,689. Parasyte: The Grey,"Journalist Shiori Ito investigates her own sexual assault, seeking to prosecute the high-profile offender. Her quest becomes a landmark case, exposing Japan's outdated judicial and societal systems."
689,690. Anunnaki: Ancient Secrets Revealed,"It tells the story of a newly pregnant couple who are forced to take in an ailing, estranged stepmother."
690,691. Black Box Diaries,"After his release from a juvenile center, Wellington finds himself homeless in São Paulo. At a porn theater, he meets Ronaldo, who mentors him in street survival. Their bond evolves into a turbulent affair."
691,692. The Front Room,Sabrina and Jenna fight over a boyfriend.
692,693. Baby,Late one night a woman drives by a stranded motorist who is later revealed to have been murdered. After a series of terrifying events the woman believes she is the killer's next victim.
693,694. Sabrina Carpenter: Taste,It follows the tale of when Julio Torres lost a golden oyster.
694,695. Blackwater Lane,An English teacher begins to hear a low humming sound that no one else around her can hear.
695,696. Fantasmas,A young man is recruited into a secret society of magical black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.
696,697. The Listeners,"During a war that plagues everything around, a lumberjack's wife finds an abandoned baby girl. This meeting transforms the life of the couple and those whose destinations intertwine with that of the child."
697,698. The American Society of Magical Negroes,"The life of a young glassblower in training and his relationships over the years, as his land goes through war and strife."
698,699. The Most Precious of Cargoes,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold."
699,700. The Glassworker,"In this intimate portrayal of friendship, transition and America, Will Ferrell and his close friend of thirty years decide to go on a cross-country road trip to explore a new chapter in their relationship."
700,701. Sector 36,"Kang Bit Na, an elite judge with a beautiful appearance, is a demon whose mission is to punish those who have wronged others and send them to Hell. However, the righteous Detective Han Da On is determined to change her ways."
701,702. Will & Harper,This narrative-driven odyssey that coincides with the release of her same-named album tells the story of Jennifer Lopez's journey to love through her own eyes.
702,703. The Judge from Hell,"Puek, a boy from the slums, had no choice but to endure his circumstances, feeling that he could never have the same worth as others. He remained silent, accepting the bullying of others just to survive in society."
703,704. This Is Me... Now,"Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu."
704,705. In Youth We Trust,An absurdist triptych of seemingly unconnected stories finds a mysterious point of intersection in this tale set somewhere between Winnipeg and Tehran.
705,706. Bushido,Revolves around a mystery that originates during an eclipse when 17-year-old Luca accidentally shoots his girlfriend.
706,707. Universal Language,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators."
707,708. L'Éclipse,"Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt."
708,709. The Quiet Ones,"With one paramedic opening, Dani Miller must set aside her recent heartbreak and prove herself worthy of the job while competing against the fire chief's impulsive son and an over-qualified rookie."
709,710. Hot Frosty,"A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches."
710,711. County Rescue,"Frankie, a young mother with dyschronometria, struggles to perceive time. Using cassette tapes for guidance, she takes a risky job from a mysterious woman to support her family, unaware of the dark consequences that await."
711,712. Munjya,A drug dealer begins to question his life choices when his violent partner-in-crime is released from prison.
712,713. Gazer,"Journey begins with D&C Media, exploring Solo Leveling's webnovel origins. Next, visit Redice Studio, discussing the webtoon adaptation's script-to-illustration process.<"
713,714. Reputation,"Philomena Cunk delves into life's profound questions, examining subjects from the big bang to AI, meeting academics and creatives, all with her trademark misguided observations."
714,715. The Leveling of Solo Leveling,"Lia, a retired teacher, has promised to find her long-lost niece, Tekla. Her search takes her to Istanbul where she meets Evrim, a lawyer fighting for trans rights, and Tekla starts to feel closer than ever."
715,716. Cunk on Life,Reality show about swingers who happen to be Mormon wives.
716,717. Crossing,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.
717,718. The Secret Lives of Mormon Wives,"A discharged police officer is given a chance to regain his former life by capturing a bank robbery crew. Teaming up with a young policewoman, the ex-cop must act swiftly before the heist draws unwanted scrutiny from the new authorities."
718,719. Take Cover,"The Helicopter Heist is a reality-based and character-driven suspense series in eight parts about the drama behind one of the most spectacular heists in history, a grand and fast paced Icarus tale about winning or losing it all."
719,720. Justice,A year in the life of a unique family. It captures the daily life of the Sasquatch with a level of detail and rigor that is simply unforgettable.
720,721. The Helicopter Heist,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions."
721,722. Sasquatch Sunset,"Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor Jaldabaoth."
722,723. Black Cab,"When a student from Aurora's true crime literature class is found murdered outside the diner where she works, Aurora takes it upon herself to figure out the real culprit."
723,724. Overlord: The Sacred Kingdom,"Based on the book by the same name, the film tells the inspiring story of a 12-year-old boy who, separated from his family by a fast-moving storm, must fight to stay alive during his nine-day adventure lost in the backwoods of Maine."
724,725. Aurora Teagarden Mysteries: A Lesson in Murder,"Delving into the lives of the Sakir Pasa family from 1912, the story follows Ottoman artists like painter Fahrelnisa Zeid, engraver Aliye Berger, and ceramist Füreya Koral, exploring their relationships and contributions."
725,726. Lost on a Mountain in Maine,"A hard-hitting teen telenovela set at a boarding school in Johannesburg. When a teen flees from a family tragedy in rural KwaZulu Natal to a boarding school in Jozi, she finds herself entangled in a scandal of epic proportions."
726,727. Portrait of a Scandalous Family,"Follows Nora, Ginny, and Mary, three childhood best friends who used to spend every summer at a sleep away camp together. After years, when the opportunity to get back together for a summer camp reunion presents itself, they all seize it."
727,728. Youngins,"1941. Chumphon Province, Thailand. Mok and his ragtag unit of young soldiers are thrown against the invading Japanese forces. The invaders bring with them a terrifying biological weapon, unaware that it has plans of its own."
728,729. Summer Camp,"With their reputation growing across London, thieves Gal and Don are recruited by renowned criminal boss Teddy Bass for a high-stakes job. But as they continue to rise in the criminal world, they find their lives changed forever."
729,730. Operation Undead,A Paris food delivery cyclist and asylum seeker named Souleymane has two days to prepare his story for a make-or-break interview to secure legal residency.
730,731. Sexy Beast,"Laurence Fintch wants to be the planet's financial savior. His digital technology has been unleashed. His attempt to corner the world banks spirals out of control, bringing forth a global Financial Armageddon."
731,732. Souleymane's Story,A docu-series that uncovers the toxic culture behind some of the most iconic children's shows of the late 1990s and early 2000s.
732,733. Paper Empire,"A mighty sea warrior takes a violent stand against the criminal deeds of his village. Years later, his mild-mannered son walks a path of his own."
733,734. Quiet on Set: The Dark Side of Kids TV,A care assistant working at a Swedish nursing home at the start of the COVID-19 pandemic must decide whether to go to the media about the negligence and disregard for the residents' safety that she has witnessed.
734,735. Devara Part 1,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
735,736. Så länge hjärtat slår,"The Anti-Monitor, the Monitor's evil counterpart, is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back."
736,737. Role Play,"After missing out on a long-awaited mass suicide, an obnoxious cult member teams up with his former leader to gain a new following."
737,738. Justice League: Crisis on Infinite Earths - Part One,"Trapped in a pocket universe, surviving Earths face annihilation by the Anti-Monitor. Time shatters, bringing past heroes to aid Justice League against the epitome of evil. Their sacrifice may lead to victory."
738,739. Let's Start a Cult,"While caring for her brother along with her audacious mother, a teenager strikes up a friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time."
739,740. Justice League: Crisis on Infinite Earths - Part Three,"In a world where fate and the unexpected are bonded, watch the extraordinary story of Amer and his newfound companion, a mystical lizard with unimaginable powers. A lizard crosses paths with Amer in a thrilling encounter on a journey filled with excitement, danger, and unexpected twists, starting with the attempts of a group of youth to hunt him. After a while of protecting and taking care of this lizard, Amer coincidentally discovers its supernatural and lucky abilities once it is in his pocket. In a thrilling confrontation, Amer foils the plans of businessman Abu Suleiman and his sneaky business manager, who are looking to seize control of their commerce matters using the powers of the mystical lizard."
740,741. Suncoast,"Based on a true story, a brilliant young man puts his bright future at risk to help his father."
741,742. Shabab Albomb,"When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective."
742,743. Rob Peace,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter."
743,744. A Killer Paradox,"Seventy-year-old Mahin, solitary until now, chooses to revive her love life. A chance encounter becomes an unforgettable evening."
744,745. Trouble,"Focuses on Jessica and Karl, Rhiannon's loving parents, whose family, after many years of striving to expand, is thrilled to adopt Gabby, an 8-year-old orphan born with special needs."
745,746. My Favourite Cake,Alexander was King of the ancient Greek city state Macedon and widely considered to be one of history's greatest and most successful military commanders. By the age of 30 he had created one of the largest empires in history.
746,747. The Bad Orphan,"Angelika's seemingly perfect life conceals a lack of fulfillment. While arranging her best friend's wedding, she meets Simon, her friend's daring and passionate brother who challenges Angelika's deeply held principles and life beliefs."
747,748. Alexander: The Making of a God,"In a desperate attempt to protect her ten-year-old daughter, a young widow allows a nightmarish monster to slowly eat her alive."
748,749. Vulgar,"Years after stuntman Bunny recruited struggling actress Honey for a side gig, their dangerous past catches up with them, forcing the estranged couple to reunite and protect their daughter."
749,750. Little Bites,A narcissist concocts a get-rich-quick scheme that ignites a violent chain reaction and overwhelms the lives of those around him.
750,751. Citadel: Honey Bunny,A group of roommates accidentally kill an innocent man.
751,752. Dead Wrong,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth."
752,753. Depravity,"The story of Andrea Spezzacatena, who, in 2012, decided to take his own life because of the continuous bullying of some classmates."
753,754. Levels,"Fanny has just moved from the suburbs to a new school in northern Copenhagen. She finds it difficult to adjust to the new environment, and a group of girls in her class seem to dominate the entire school. Fanny befriends the former leader of the group, Lilja, to form an alliance and do whatever it takes to become popular, have the same opportunities and get into the right circles. But the power struggle has a price, and what is the point of being popular if you don't even have a friend you can trust?"
754,755. The Boy with Pink Trousers,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.
755,756. Kontra,"A new chase is coming - with reference to the epic Ramayana, Singham and his team face an ambiguous villain in order to save his wife."
756,757. Prey,"A mother who is deeply saddened lures her daughter's killer into her smart home in order to take revenge, and gets involved in a distorted game where life and death are at stake."
757,758. Singham Again,"Following the murder of a nurse in the Welsh town of Pembroke Dock, old cases are being re-examined under the suspicion of a copycat killer."
758,759. Hard Home,"A young woman lost in a series of meaningless connections falls in love with a charismatic and sensitive man, who hides a dark secret that turns her affair into a dangerous obsession."
759,760. Cleddau,"On A-level results day, an ambitious Iranian-British teen in London grapples with a major life decision while hanging out with friends across the city."
760,761. The Dead Thing,"11-year-old Mildred's world is turned upside down when her estranged father, the washed-up magician Strawn Wise, comes to look after her and agrees to take her camping to find a mythological beast known as the Canterbury Panther."
761,762. Last Swim,"Revolves around a moving tale that artfully intertwines coincidence and destiny, bringing together two souls who could not be more dissimilar in their essence."
762,763. Bookworm,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
763,764. Meem Se Mohabbat,"Follows the Grace family as they move from Brooklyn, New York, to their ancestral home in Henson, Michigan, the Spiderwick Estate."
764,765. Players,The story focuses on an American agent sent to a dangerous undercover mission in Thailand to dismantle a sadistic crime lord.
765,766. The Spiderwick Chronicles,"A British couple murdered during Central American trip in 1970s. Case goes cold. 40 years later, their family pursues own investigation and makes a shocking revelation."
766,767. Bangkok Dog,"Forced to collaborate on a serious crime, contrasting detectives Philip Boyd and Aoife Regan, with clashing personalities and backgrounds, overcome initial friction to form an unlikely but formidable crime-fighting partnership."
767,768. Dead in the Water,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history."
768,769. Borderline,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
769,770. Escape from Germany,"Paul, a charismatic underdog music producer, juggles family life and artistic dreams by working out of his home studio with a rotating cast of eccentric clients, creating original music and navigating hilarious family drama along the way."
770,771. Anaconda,"A reinterpretation of the Nibelungen saga centering on Hagen von Tronje, a Viking who allies himself with the ancient gods and takes up arms against an unscrupulous ruler."
771,772. The Studio,"Köinzell, a young swordsman wielding the deadly black sword, faces rumors of bloodshed. Pursued by the Traitorous Lances, he battles to uncover the truth behind his quest amidst enemies' corpses."
772,773. Hagen,"It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville."
773,774. Ubel Blatt,"After killing a cop in a Delhi brothel, Renuka takes refuge in a northern India community of sex workers. There, she begins a forbidden romance with the 17-year-old Devika. Against all odds, they try to forge their path to freedom."
774,775. The Thundermans Return,"When a girl's body is found on a beach in Poland's Tricity, a prosecutor teams up with the victim's mother on an impassioned quest for the truth."
775,776. The Shameless,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family."
776,777. Colors of Evil: Red,"Amazons from the planet Byphrexia invade Earth, encountering human males. Rivals Diana and Athena navigate challenges and media frenzy while attempting to reunite before returning home. Will they succeed or become Earth celebrities?"
777,778. On Becoming a Guinea Fowl,An eternal conflict reaches epic proportions when both God and the Devil are sent to Earth in the bodies of chunky house cats.
778,779. Moon Maidens 2,Inspired by the events of the 11-day standoff in 1981 between Sweden and the U.S.S.R. when a Soviet U-137 'Whiskey'-class submarine ran aground on rocks deep inside Swedish territorial waters.
779,780. Exploding Kittens,"A story that reveals the whole story of a friendship that has been changed over 20 years based on the death of a friend of Jang Jae-kyeong, an ace detective in a drug squad who is forcibly addicted to drugs."
780,781. Whiskey on the Rocks,"Caroline, a single interior designer, moves into what seems like the perfect apartment only to be awakened nightly by her neighbor, the 'wallbanger,' sparking an unexpected, tension-filled connection."
781,782. Connection,A group of seniors of an entrepreneurial high school team up to take down a rigged college admissions system.
782,783. Wallbanger,"This night is like all the others for Mady, student by day, locksmith by night. But Claire, the enigmatic young girl he helps out that night, is not who she claims to be. Mady has only one night to prove his innocence in a city in turmoil."
783,784. Bad Genius,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister."
784,785. Night Call,The story of a group of teenagers in small town Texas who unleash a deadly force after playing the famous game in an abandoned house where a grisly massacre once took place.
785,786. Sookshma Darshini,"Two struggling actors find solace from lockdown isolation by staging Hamlet in Grand Theft Auto Online (2013), battling griefers as they connect through William Shakespeare."
786,787. Spin the Bottle,"Assassination attempt on the Princess Lynneburg threatens the Kingdom of Clays. As neighboring countries plot the kingdom's downfall, Noor arrives at the royal capital, determined to become an adventurer despite his limited abilities."
787,788. Grand Theft Hamlet,Chuck Billy and his gang must unite to save Mr. Lau's guava tree when it is put at risk.
788,789. I Parry Everything,"Heartbroken and adrift, undocumented Brazilian immigrant Lourenço searches for purpose in the queer mecca of Provincetown. As the summer season comes to a fade, he sparks an intense and unexpected romance with Maurice. Together, the two reconcile the pasts they've left behind and their uncertain futures."
789,790. Chuck Billy and the Marvelous Guava Tree,"Hell Hole hails from the filmmaking family behind Hellbender and centers on an American-led fracking crew that uncovers a living French soldier frozen in time from a Napoleonic campaign, whose body hosts a parasitic monster."
790,791. High Tide,A woman devoid of love encounters her first love. Will she stay faithful or yield to desire?
791,792. Hell Hole,"Renowned Swedish TV-duo Filip and Fredrik embark on a trip to France, aiming to rekindle the zest for life of Filip's father"
792,793. The One That Got Away,"Former ninja Joe Higan is ambushed by assassins who seek bloody revenge on him and his family for their betrayal, after escaping his clan and fleeing into rural America."
793,794. The Last Journey,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy."
794,795. Ninja Kamui,"When a reluctant bride-to-be's fiance drops dead, she insists on marrying him anyway - vowing to overcome public opinion, the law of the land, and her loved one's objections."
795,796. My Spy: The Eternal City,A Chinese-American teen living in a small Texas town finds out a demon king is hunting her for the supernatural powers she's been working her whole life to repress.
796,797. And Mrs,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
797,798. Jentry Chau vs. The Underworld,Follow Survivor and protagonist Helena Walker after her initial awakening on The Island.
798,799. Dark Match,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization."
799,800. Ark: The Animated Series,"After going through the pain of her first love, which ended in betrayal Leyla Taylan a successful lawyer became the representative of the famous third wife, Tuba Tepelioglu, in a case considered the ""divorce case of the year""."
800,801. The Roundup: Punishment,Follows the last days of Louis XVI and Marie Antoinette before they were executed.
801,"802. Thank You, Next",Follows two colleagues who in different ways struggle with the same issues about their sexuality.
802,803. The Flood,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
803,804. Sex,A girl who can see colors in people's hearts joins a band with two other people.
804,805. Boot Camp,"Julie is a star player at an elite tennis academy. When her coach falls under investigation and is suddenly suspended, all of the club's players are encouraged to speak up. But Julie decides to keep quiet."
805,806. The Colors Within,It tells the story of two friends who travel to be bridesmaids in a surprise wedding of their college girlfriend.
806,807. Julie Keeps Quiet,"Unfolding over the course of Valentine's Day in New Jersey, a young intersex sex worker must run from the mob after a drug deal goes sideways, forcing him to confront his past."
807,808. The Fabulous Four,"A woman wakes up in a police interrogation room with no memory of the night prior. However, something does not seem quite right in this police station."
808,809. Ponyboi,Brett Goldstein and Imogen Poots star in a stirring near-futuristic romance as best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.
809,810. Detained,Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
810,811. All of You,"A group of teenage girls and boys in the city of Latina, just south of Rome, and its surrounding area during a summer that will change their lives forever."
811,812. The Curse of the Necklace,"Retired Dysp Udhayabhanu narrates events of his professional life in a TV program. He reveals the intriguing details of the 'Chepanamthota case', a milestone event in his career."
812,813. Adoration,"Rex, a Florida party girl, turns out to be the only hope for the NASA space program after a fluke puts her in training with other candidates who may have better resumés, but don't have her smarts, heart, and moxie."
813,814. Thalavan,"After a mission goes wrong, only one of a group of mercenaries is left alive to take revenge for his brothers."
814,815. Space Cadet,"Years after their last heist, Sickan reunites with Vanheden, Harry and Doris to steal a T-Rex skeleton from a museum and sell it for millions. However, an aging detective is determined to catch Jönsson before retiring."
815,816. Hounds of War,The legendary feud between Wyatt Earp and Ike Clanton unfolds through vivid reenactments in this gritty docudrama about the gunfight that defined an era.
816,817. Jönssonligan kommer tillbaka,"Dambury, where a chemical leak outside a care home starts an apocalypse led by old-aged pensioners hungry for human flesh. A group of teenagers are caught up in the virus when one of the gang's grandmothers becomes infected and attacks her"
817,818. Wyatt Earp and the Cowboy War,"A guild receptionist secretly clears dungeons at night, but when a top adventurer catches her, chaos looms!."
818,819. Generation Z,"A woman's body is discovered. She has been brutally murdered during the night. Veteran Police officer Pamela believes only a man could have done this. But in a world where men are bound by a curfew from 7pm to 7am, her theory is rejected."
819,"820. I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time","Akane Tendo meets her new fiancé, Ranma Saotome, a martial arts prodigy with a twist: he magically transforms into a girl upon touching cold water."
820,821. Curfew,A young couple is lured into the clutches of a bloodthirsty 500-year-old vampire; the exotic stranger tries to persuade them to swap partners and join his kind.
821,822. Ranma ½,"On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico."
822,823. Swap,"Animated sequel series which follows Everybody Hates Chris (2005), focusing on Chris Rock's life as a kid in 1980s Brooklyn, New York."
823,824. In the Summers,An investigation into abuse and missing children at an Indian residential school sparks a reckoning on the nearby Sugarcane Reserve.
824,825. Everybody Still Hates Chris,"Reeve's rise to becoming a film star follows with a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After the accident, he became an activist for spinal cord injury treatments and disability rights."
825,826. Sugarcane,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
826,827. Super/Man: The Christopher Reeve Story,"A seemingly ordinary family actually has a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but their truth is revealed one day."
827,828. Before Dawn,"A man investigates diversity, equity and inclusion practices, revealing absurdities through hidden social experiments."
828,829. The Radleys,"A Black artist on the path to success is derailed by an unexpected visit from his estranged father, a recovering addict desperate to reconcile. Together, they struggle and learn that forgetting might be a greater challenge than forgiving."
829,830. Am I Racist?,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.
830,831. Exhibiting Forgiveness,"A 16-year-old boy who spends the summer with his grandparents falls in love with an older young man, but when tragedy strikes he falls into a dark hole of self-harm, lust, and loneliness."
831,832. Something in the Water,"Award-winning journalist Peter Greste reports on the Arab Spring uprising, becoming entangled in a deadly game of rivalries. Imprisoned for seven years despite his innocence, he survives on wits alone before release in 2015."
832,833. B.O.Y.: Bruises of Yesterday,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
833,834. The Correspondent,"Minnie and Quinn are born on the same day, one minute apart. Their lives may begin together, but their worlds couldn't be more different. Years later they find themselves together again. Maybe it's time to take a chance on love."
834,835. Hanu Man,"When Ottoman Sultan, Fatih Sultan Mehmet, ascends the throne, he must defeat many enemies inside and outside the palace in order to conquer Istanbul, his biggest dream."
835,836. This Time Next Year,"Abandoned by her stepmother after her father's remarriage, Leyla returns years later seeking revenge. However, her quest becomes an emotional journey filled with love and struggles against the woman who ruined her life."
836,837. Mehmed: Fetihler Sultani,A group of young people inadvertently resurrect a seemingly invisible evil.
837,838. Leyla: Life Love Justice,One Piece: Fish-Man Island Saga is a retouched and condensed version of the One Piece anime adaptation of the Fish-Man Island Saga.
838,839. The Wailing,"To escape the police, a son and his father find refuge in a summer camp for young adults with disabilities, posing as a resident and his educator. The beginning of trouble and a wonderful human experience that will change them forever."
839,840. One Piece Log: Fish-Man Island Saga,"Trained as a ruthless assassin since childhood, a mob hitman is ordered to become a normal law-abiding citizen."
840,841. A Little Something Extra,Acclaimed director Paula Persimmon teams up with an overly confident daydream director to create the next big tween-dream hit for Riley at Dream Productions.
841,842. The Fable,It follows a gigolo as he falls in love with a young girl.
842,843. Dream Productions,A historic rifle club faces a vengeful arms dealer's gang in the Western Ghats. Skilled hunters fight to survive and protect their legacy.
843,844. A True Gentleman,"When a night watchmen finishes his shift at work, he is terrified to discover that everyone in the world who went to sleep the previous night has died. Now he and a band of survivors must stay awake and uncover the secret of this global epidemic, before they fall asleep."
844,845. Rifle Club,A woman under serious debt from outside pressure and impulsiveness brings her to the brink of insanity as a lust-driven mafia member has her under control.
845,846. The Edge of Sleep,"The night before Claire Reynolds' trip to Paris, she catches the eye of a mysterious, handsome stranger. That's the last thing she remembers before waking up on a plane with no recollection of what happened after that."
846,847. Mafia's Tender Torture,A mother and her young daughter flee to their family's abandoned mansion but soon find themselves haunted by paranormal incidents that lead to the little girl's mysterious disappearance.
847,848. In Flight,"Inspector John Rebus, a hardboiled Edinburgh cop with a tendency to bend rules."
848,849. Don't Come Home,"Arm, a new engineering student, manages an online fan page featuring campus heartthrobs. His feud with Ark, a senior in the elite 'Divine Peers' group, escalates when Arm posts Ark's photos without consent. Ark has feelings for him."
849,850. Rebus,"Joanna finds an unidentified man dead in a lift in a underground car park after a devastating flood, police assumes that he became trapped as the waters rose, but she is obsessed with discovering what happened to him."
850,851. Perfect10 Liners,"When a man goes missing from a tiny outback town, his estranged son is forced to navigate its motley crew of residents to find him."
851,852. After the Flood,"After spending the night in a remote hotel, Mr. K is stuck in a claustrophobic nightmare when he discovers that he can't leave the building."
852,853. Population: 11,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free."
853,854. Mr. K,"As the Gulf War seizes the world's attention, a covert and enigmatic group has penetrated the upper echelons of the CIA, labeling those who oppose them as betrayers. Black Ops veteran Frank Woods and his squad, once celebrated as heroes by their agency and nation, now find themselves banished and pursued by the very military entity that forged them. They are now outcasts in their own land, hunted by the machinery of war that they once served."
854,855. Jigra,"A haunted young woman finds herself drawn into a world of seduction, duplicity and betrayal as she desperately tries to uncover the mystery surrounding her best friend's suicide."
855,856. Call of Duty: Black Ops 6,The autobiographical story of a fearless teacher who secretly gathers seven of her female students to read forbidden Western classics in revolutionary Iran.
856,857. Strictly Confidential,"Liane, 19, lives with her mother and sister in Fréjus in the south of France. Consumed by aspirations of beauty and stardom, she auditions for a reality show called ""Miracle Island."""
857,858. Reading Lolita in Tehran,"In the near future, the Government aims to replace judges with Artificial Intelligence software, pledging to effectively automate and depoliticise the justice system. Carmen Costa, a distinguished judge, has been invited to assess this new procedure. However, when the software's creator is found dead, she realizes her life is in danger and that she will have to fight the powerful interests that are at play in the highest echelons of the State. Galician Simón Casal takes the debate the boundaries of Artificial Intelligence one step further in a gripping thriller of political conspiracies."
858,859. Wild Diamond,"Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them."
859,860. Justicia artificial,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior."
860,861. Let Go,"Misunderstood as more than friends, roommates Jae-hee and Heung-soo navigate the complexities of modern romance in Seoul's big city."
861,862. Maharaj,"The violent attack on a teenage girl in a tidal islet in which group of teenagers from disparate backgrounds, each of whom could have committed the crime, along with their parents."
862,863. Love in the Big City,A mysterious death during work hours in an office puzzles all but only Investigator ASP Sandeep Krishna observes it as a murder.
863,864. The Gathering,A foot soldier sets out to infiltrate and take down a group of warriors known as the Dragon Keepers. He encounters obstacles and challenges as he attempts to complete his mission against the group.
864,865. Golam,A group of homeless misfits must fight for survival when they discover a plot to exterminate every homeless person in the city.
865,866. Go! Go! Loser Ranger!,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive."
866,867. Street Trash,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.
867,868. Rez Ball,"Based on the relationship between Leonard Cohen and Marianne Ihlen, follows two lonely people falling in love while they are still trying to discover who they are."
868,869. Mafia Wars,"The Ninja Turtles, as teenagers, deal with their new life as heroes while also dealing with the pressures of going to high school in New York City."
869,"870. So Long, Marianne","Follows Saint-Phalle while she is modeling and striving to be an actor. She's married and has a daughter who is two years old. They left the United States during the harsh McCarthy era and travel to France, where they briefly feel elated."
870,871. Tales of the Teenage Mutant Ninja Turtles,"Zorro is set in 1834 and follows Diego de la Vega. Determined to find out who killed his father, he will discover family secrets that will change his destiny forever."
871,872. Niki,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way."
872,873. Zorro,"A teen without magical powers enrolls in a magic academy. He can't use a wand, but his skill with a sword fuels his drive to keep a promise to a friend."
